applicant_id,age,gender,region,education,employment,employment_years,monthly_income,loan_amount,loan_duration,interest_rate,loan_purpose,credit_score,dependents,previous_loans,repayment_history,collateral,debt_to_income_ratio,loan_status
100000,30,Female,Southeast Asia,Secondary,Farmer,4,17781,15506,36,22.61,Medical,456,4,3,Good,No,0.073,0
100001,36,Female,Southeast Asia,Postgraduate,Self-employed,18,7571,30852,24,17.88,Agriculture,795,3,4,Poor,Yes,0.34,0
100002,46,Male,Latin America,Graduate,Small Business,17,6762,101174,12,23.14,Medical,593,3,2,Average,Yes,1.247,0
100003,41,Male,Southeast Asia,Primary,Small Business,11,34389,22645,36,25.71,Agriculture,442,0,1,Good,Yes,0.055,0
100004,30,Male,Sub-Saharan Africa,Secondary,Self-employed,28,34942,149135,36,22.83,Housing,548,0,0,Good,Yes,0.356,1
100005,31,Male,Latin America,Graduate,Farmer,4,9358,106229,6,23.26,Agriculture,408,1,3,Good,No,0.946,1
100006,40,Female,Latin America,Secondary,Farmer,17,16403,105164,24,18.72,Business,476,1,3,Good,No,0.534,1
100007,54,Female,Southeast Asia,Graduate,Small Business,24,11112,5733,12,26.56,Agriculture,371,5,2,Average,No,0.043,1
100008,59,Male,South Asia,Graduate,Farmer,15,20560,59149,6,15.12,Business,535,1,3,Good,Yes,0.24,0
100009,40,Male,Sub-Saharan Africa,Postgraduate,Small Business,14,9718,65817,6,25.25,Education,509,5,3,Poor,No,0.564,1
100010,33,Female,South Asia,Postgraduate,Self-employed,0,20994,101291,18,21.97,Education,478,5,4,Average,Yes,0.402,0
100011,43,Male,Southeast Asia,Graduate,Salaried,5,31654,115177,24,17.01,Agriculture,456,0,4,Poor,Yes,0.303,1
100012,34,Female,Southeast Asia,Secondary,Small Business,17,33125,116008,6,18.61,Education,655,0,5,Poor,No,0.292,0
100013,48,Female,Sub-Saharan Africa,Secondary,Self-employed,16,49905,8319,18,22.3,Business,815,5,0,Good,Yes,0.014,1
100014,62,Male,Latin America,Postgraduate,Self-employed,18,14289,21139,24,19.06,Agriculture,724,5,1,Average,No,0.123,0
100015,43,Female,South Asia,Primary,Farmer,13,19679,89332,24,18.38,Housing,690,4,3,Average,No,0.378,1
100016,60,Male,Southeast Asia,Postgraduate,Farmer,14,34148,115556,12,14.85,Agriculture,720,2,2,Poor,No,0.282,0
100017,24,Male,Sub-Saharan Africa,Postgraduate,Self-employed,1,47635,102413,24,27.14,Business,782,4,0,Average,No,0.179,1
100018,54,Female,South Asia,Postgraduate,Salaried,20,19730,74993,36,22.47,Housing,746,5,5,Average,Yes,0.317,0
100019,54,Male,Sub-Saharan Africa,Secondary,Salaried,28,23700,55109,24,26.97,Agriculture,647,4,5,Good,Yes,0.194,0
100020,39,Male,South Asia,Secondary,Self-employed,5,49043,71063,6,18.86,Housing,664,3,2,Good,Yes,0.121,1
100021,46,Female,Latin America,Postgraduate,Salaried,2,21364,43612,36,27.0,Education,318,5,4,Good,Yes,0.17,1
100022,31,Female,Latin America,Primary,Salaried,28,36041,94963,6,19.77,Business,415,0,3,Good,Yes,0.22,0
100023,50,Female,Sub-Saharan Africa,Graduate,Small Business,18,7332,12884,6,24.13,Education,662,3,5,Good,No,0.146,0
100024,38,Male,South Asia,Secondary,Small Business,27,49501,48354,6,17.99,Agriculture,645,1,3,Average,No,0.081,1
100025,50,Male,South Asia,Primary,Self-employed,1,19085,21822,18,26.36,Agriculture,786,2,0,Good,Yes,0.095,1
100026,38,Male,Southeast Asia,Graduate,Farmer,21,13891,88547,12,20.49,Housing,376,1,2,Good,Yes,0.531,1
100027,31,Female,South Asia,Postgraduate,Farmer,29,18017,28155,18,15.15,Agriculture,528,2,3,Average,Yes,0.13,0
100028,22,Male,Latin America,Primary,Small Business,7,49724,81361,6,19.0,Agriculture,636,3,2,Good,No,0.136,0
100029,39,Male,Southeast Asia,Graduate,Self-employed,15,16447,12952,24,16.07,Medical,793,1,3,Average,No,0.066,0
100030,41,Male,Southeast Asia,Graduate,Small Business,25,18695,136024,24,23.76,Agriculture,695,0,1,Poor,Yes,0.606,1
100031,37,Female,Southeast Asia,Postgraduate,Farmer,26,30695,137853,6,12.84,Agriculture,700,2,3,Good,Yes,0.374,0
100032,54,Male,Sub-Saharan Africa,Postgraduate,Small Business,3,11708,107329,24,15.39,Agriculture,513,4,5,Poor,Yes,0.764,1
100033,64,Female,Sub-Saharan Africa,Secondary,Salaried,5,43987,71042,18,16.45,Medical,508,4,1,Good,No,0.135,0
100034,35,Female,Latin America,Primary,Salaried,12,15043,41157,24,26.84,Agriculture,810,2,5,Good,No,0.228,0
100035,59,Male,Southeast Asia,Graduate,Small Business,4,40123,30985,12,16.61,Agriculture,352,3,1,Good,No,0.064,0
100036,57,Male,Sub-Saharan Africa,Primary,Farmer,25,36612,145822,6,18.53,Agriculture,433,5,3,Good,No,0.332,0
100037,40,Female,Southeast Asia,Graduate,Farmer,24,45716,116071,36,27.9,Housing,388,2,1,Average,No,0.212,1
